2022-11-21 15:44:59,719 INFO    MainThread:19192 [wandb_setup.py:_flush():68] Configure stats pid to 19192
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_setup.py:_flush():68] Loading settings from /home/murali/.config/wandb/settings
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_setup.py:_flush():68] Loading settings from /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/settings
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_init.py:_log_setup():476] Logging user logs to /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/logs/debug.log
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_init.py:_log_setup():477] Logging internal logs to /home/murali/AIM-AnimationSoftwareWorkShop/week-3lec/wandb/run-20221121_154459-2cuezdb7/logs/debug-internal.log
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_init.py:init():516] calling init triggers
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-21 15:44:59,720 INFO    MainThread:19192 [wandb_init.py:init():535] re-initializing run, found existing run on stack: 2guzwt73
2022-11-21 15:44:59,721 INFO    MainThread:19192 [wandb_run.py:_finish():1746] finishing run muralichan/MyCoolModel/2guzwt73
2022-11-21 15:44:59,721 INFO    MainThread:19192 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-21 15:44:59,721 INFO    MainThread:19192 [wandb_run.py:_restore():1932] restore
2022-11-21 15:44:59,721 INFO    MainThread:19192 [wandb_run.py:_restore():1938] restore done
2022-11-21 15:45:04,141 INFO    MainThread:19192 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-21 15:45:04,141 INFO    MainThread:19192 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-21 15:45:04,143 INFO    MainThread:19192 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-11-21 15:45:04,148 INFO    MainThread:19192 [wandb_init.py:init():569] starting backend
2022-11-21 15:45:04,148 INFO    MainThread:19192 [wandb_init.py:init():573] setting up manager
2022-11-21 15:45:04,149 INFO    MainThread:19192 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-21 15:45:04,150 INFO    MainThread:19192 [wandb_init.py:init():580] backend started and connected
2022-11-21 15:45:04,163 INFO    MainThread:19192 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-21 15:45:04,163 INFO    MainThread:19192 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-21 15:45:04,163 INFO    MainThread:19192 [wandb_init.py:init():658] updated telemetry
2022-11-21 15:45:04,165 INFO    MainThread:19192 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-21 15:45:05,544 INFO    MainThread:19192 [wandb_run.py:_on_init():2000] communicating current version
2022-11-21 15:45:05,643 INFO    MainThread:19192 [wandb_run.py:_on_init():2004] got version response 
2022-11-21 15:45:05,643 INFO    MainThread:19192 [wandb_init.py:init():728] starting run threads in backend
2022-11-21 15:45:05,685 INFO    MainThread:19192 [wandb_run.py:_console_start():1980] atexit reg
2022-11-21 15:45:05,686 INFO    MainThread:19192 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-21 15:45:05,686 INFO    MainThread:19192 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-21 15:45:05,686 INFO    MainThread:19192 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-21 15:45:05,686 INFO    MainThread:19192 [wandb_init.py:init():765] run started, returning control to user process
